,timestamp,time,name,startTime,endTime,minUsed
57,1557101973585,7670,Facebook,2019-05-06 00:19:33.585,2019-05-06 00:19:41.255,0.12783333333333333
58,1557101981255,15,Facebook,2019-05-06 00:19:41.255,2019-05-06 00:19:41.270,0.00025
59,1557101981270,70864,Facebook,2019-05-06 00:19:41.270,2019-05-06 00:20:52.134,1.1810666666666667
60,1557102052134,23500,Facebook,2019-05-06 00:20:52.134,2019-05-06 00:21:15.634,0.39166666666666666
61,1557102075634,2688,Facebook,2019-05-06 00:21:15.634,2019-05-06 00:21:18.322,0.0448
62,1557102078322,22,Facebook,2019-05-06 00:21:18.322,2019-05-06 00:21:18.344,0.00036666666666666667
63,1557102078344,4559,Facebook,2019-05-06 00:21:18.344,2019-05-06 00:21:22.903,0.07598333333333333
64,1557102082942,64,카카오톡,2019-05-06 00:21:22.942,2019-05-06 00:21:23.006,0.0010666666666666667
65,1557102083006,28,카카오톡,2019-05-06 00:21:23.006,2019-05-06 00:21:23.034,0.00046666666666666666
66,1557102083034,50412,카카오톡,2019-05-06 00:21:23.034,2019-05-06 00:22:13.446,0.8402
67,1557102133446,42,카카오톡,2019-05-06 00:22:13.446,2019-05-06 00:22:13.488,0.0007
68,1557102133488,10937,카카오톡,2019-05-06 00:22:13.488,2019-05-06 00:22:24.425,0.18228333333333332
69,1557102144425,24,카카오톡,2019-05-06 00:22:24.425,2019-05-06 00:22:24.449,0.0004
70,1557102144449,24050,카카오톡,2019-05-06 00:22:24.449,2019-05-06 00:22:48.499,0.4008333333333333
71,1557102168499,18,카카오톡,2019-05-06 00:22:48.499,2019-05-06 00:22:48.517,0.0003
72,1557102168517,195,카카오톡,2019-05-06 00:22:48.517,2019-05-06 00:22:48.712,0.00325
73,1557102168753,92,Facebook,2019-05-06 00:22:48.753,2019-05-06 00:22:48.845,0.0015333333333333334
74,1557102168845,17,Facebook,2019-05-06 00:22:48.845,2019-05-06 00:22:48.862,0.00028333333333333335
75,1557102168862,29382,Facebook,2019-05-06 00:22:48.862,2019-05-06 00:23:18.244,0.4897
76,1557102198244,35,Facebook,2019-05-06 00:23:18.244,2019-05-06 00:23:18.279,0.0005833333333333334
77,1557102198279,3531,Facebook,2019-05-06 00:23:18.279,2019-05-06 00:23:21.810,0.05885
78,1557102201824,1920,Samsung Experience 홈,2019-05-06 00:23:21.824,2019-05-06 00:23:23.744,0.032
79,1557102203774,356,YouTube,2019-05-06 00:23:23.774,2019-05-06 00:23:24.130,0.005933333333333333
80,1557102204130,69,YouTube,2019-05-06 00:23:24.130,2019-05-06 00:23:24.199,0.00115
81,1557102204199,342195,YouTube,2019-05-06 00:23:24.199,2019-05-06 00:29:06.394,5.70325
82,1557102546428,63,카카오톡,2019-05-06 00:29:06.428,2019-05-06 00:29:06.491,0.00105
83,1557102546491,38,카카오톡,2019-05-06 00:29:06.491,2019-05-06 00:29:06.529,0.0006333333333333333
84,1557102546529,36,카카오톡,2019-05-06 00:29:06.529,2019-05-06 00:29:06.565,0.0006
85,1557102546565,55,카카오톡,2019-05-06 00:29:06.565,2019-05-06 00:29:06.620,0.0009166666666666666
86,1557102546620,29642,카카오톡,2019-05-06 00:29:06.620,2019-05-06 00:29:36.262,0.4940333333333333
87,1557102576262,35,카카오톡,2019-05-06 00:29:36.262,2019-05-06 00:29:36.297,0.0005833333333333334
88,1557102576297,8488,카카오톡,2019-05-06 00:29:36.297,2019-05-06 00:29:44.785,0.14146666666666666
89,1557102584785,26,카카오톡,2019-05-06 00:29:44.785,2019-05-06 00:29:44.811,0.0004333333333333333
90,1557102584811,9200,카카오톡,2019-05-06 00:29:44.811,2019-05-06 00:29:54.011,0.15333333333333332
91,1557102594011,20,카카오톡,2019-05-06 00:29:54.011,2019-05-06 00:29:54.031,0.0003333333333333333
92,1557102594031,5683,카카오톡,2019-05-06 00:29:54.031,2019-05-06 00:29:59.714,0.09471666666666667
